dataset_type,n_items,budget_tokens,strategy,p1,mean_tokens_used,mean_items_included,trials
realistic,50,1000,element_count,0.0285,902.4,1.37,2000
realistic,50,1000,priority,0.0180,842.4,1.20,2000
realistic,50,2000,random,0.0585,1972.6,3.00,2000
realistic,50,2000,default,0.0710,2000.0,3.00,2000
realistic,50,2000,reversed,0.0620,1980.9,3.00,2000
realistic,50,2000,element_count,0.0585,1980.5,3.00,2000
realistic,50,2000,priority,0.0610,1960.4,2.99,2000
realistic,50,4000,random,0.1205,3962.1,5.81,2000
realistic,50,4000,default,0.1215,4000.0,5.92,2000
realistic,50,4000,reversed,0.1145,3981.4,5.85,2000
realistic,50,4000,element_count,0.1120,3980.6,5.86,2000
realistic,50,4000,priority,0.1160,3968.2,5.86,2000
realistic,50,8000,random,0.2460,7967.1,11.66,2000
realistic,50,8000,default,0.2360,8000.0,11.59,2000
realistic,50,8000,reversed,0.2400,7980.5,11.65,2000
realistic,50,8000,element_count,0.2330,7981.5,11.66,2000
realistic,50,8000,priority,0.2315,7977.6,11.68,2000
realistic,100,1000,random,0.0115,730.0,1.09,2000
realistic,100,1000,default,0.0215,965.8,1.99,2000
realistic,100,1000,reversed,0.0110,729.5,1.09,2000
realistic,100,1000,element_count,0.0110,729.7,1.09,2000
realistic,100,1000,priority,0.0130,727.9,1.09,2000
realistic,100,2000,random,0.0290,1834.4,2.79,2000
realistic,100,2000,default,0.0430,1933.3,3.95,2000
realistic,100,2000,reversed,0.0260,1831.8,2.79,2000
realistic,100,2000,element_count,0.0290,1833.6,2.79,2000
realistic,100,2000,priority,0.0295,1835.4,2.80,2000
realistic,100,4000,random,0.0560,3809.9,5.65,2000
realistic,100,4000,default,0.0780,3802.5,7.65,2000
realistic,100,4000,reversed,0.0570,3809.6,5.65,2000
realistic,100,4000,element_count,0.0560,3805.7,5.64,2000
realistic,100,4000,priority,0.0580,3809.3,5.66,2000
realistic,100,8000,random,0.1155,7811.5,11.49,2000
realistic,100,8000,default,0.1490,7697.1,15.03,2000
realistic,100,8000,reversed,0.1140,7809.0,11.48,2000
realistic,100,8000,element_count,0.1175,7809.8,11.48,2000
realistic,100,8000,priority,0.1195,7812.3,11.48,2000
realistic,200,1000,random,0.0040,733.2,1.10,2000
realistic,200,1000,default,0.0115,965.4,2.00,2000
realistic,200,1000,reversed,0.0055,732.2,1.09,2000
realistic,200,1000,element_count,0.0055,732.4,1.10,2000
realistic,200,1000,priority,0.0065,730.3,1.10,2000
realistic,200,2000,random,0.0115,1834.3,2.80,2000
realistic,200,2000,default,0.0220,1939.2,4.00,2000
realistic,200,2000,reversed,0.0135,1828.8,2.78,2000
realistic,200,2000,element_count,0.0125,1835.0,2.80,2000
realistic,200,2000,priority,0.0155,1831.5,2.79,2000
realistic,200,4000,random,0.0285,3810.3,5.65,2000
realistic,200,4000,default,0.0445,3909.5,8.00,2000
realistic,200,4000,reversed,0.0295,3806.8,5.64,2000
realistic,200,4000,element_count,0.0260,3807.7,5.65,2000
realistic,200,4000,priority,0.0265,3809.5,5.66,2000
realistic,200,8000,random,0.0565,7809.7,11.48,2000
realistic,200,8000,default,0.0820,7820.8,15.74,2000
realistic,200,8000,reversed,0.0580,7812.6,11.49,2000
realistic,200,8000,element_count,0.0570,7811.7,11.48,2000
realistic,200,8000,priority,0.0545,7813.3,11.49,2000
